Schluesse;Straftat;Gemeindeschluessel;Stadt_Landkreis;Kreisart;erfasste_Faelle;HZ_nach_Zensus;Versuche_Anzahl;Versuche_Anteil_in_Prozent;mit_Schusswaffe_gedroht;mit_Schusswaffe_geschossen;aufgeklaerte_Faelle;Aufklaerungsquote;Tatverdaechtige_insgesamt;Tatverdaechtige_maennlich;Tatverdaechtige_weiblich;Nichtdeutsche_Tatverdaechtige_Anzahl;Nichtdeutsche_Tatverdaechtige_Anteil_in_Prozent
211000;Raub, räuberische Erpressung auf/gegen Geldinstitute, Postfilialen und -agenturen;16069;Hildburghausen;LK;0;0;0;0.0;0;0;0;0.0;0;0;0;0;0.0
211000;Raub, räuberische Erpressung auf/gegen Geldinstitute, Postfilialen und -agenturen;16070;Ilm-Kreis;LK;0;0;0;0.0;0;0;0;0.0;0;0;0;0;0.0
211000;Raub, räuberische Erpressung auf/gegen Geldinstitute, Postfilialen und -agenturen;16071;Weimarer Land;LK;1;1;1;100.0;0;0;1;100.0;2;2;0;0;0.0
211000;Raub, räuberische Erpressung auf/gegen Geldinstitute, Postfilialen und -agenturen;16072;Sonneberg;LK;0;0;0;0.0;0;0;0;0.0;0;0;0;0;0.0
211000;Raub, räuberische Erpressung auf/gegen Geldinstitute, Postfilialen und -agenturen;16073;Saalfeld-Rudolstadt;LK;0;0;0;0.0;0;0;0;0.0;0;0;0;0;0.0
211000;Raub, räuberische Erpressung auf/gegen Geldinstitute, Postfilialen und -agenturen;16074;Saale-Holzland-Kreis;LK;0;0;0;0.0;0;0;0;0.0;0;0;0;0;0.0
211000;Raub, räuberische Erpressung auf/gegen Geldinstitute, Postfilialen und -agenturen;16075;Saale-Orla-Kreis;LK;0;0;0;0.0;0;0;0;0.0;0;0;0;0;0.0
211000;Raub, räuberische Erpressung auf/gegen Geldinstitute, Postfilialen und -agenturen;16076;Greiz;LK;0;0;0;0.0;0;0;0;0.0;0;0;0;0;0.0
211000;Raub, räuberische Erpressung auf/gegen Geldinstitute, Postfilialen und -agenturen;16077;Altenburger Land;LK;0;0;0;0.0;0;0;0;0.0;0;0;0;0;0.0
212000;Raub, räuberische Erpressung auf/gegen sonstige Zahlstellen und Geschäfte;1001;Flensburg;KfS;8;9;0;0.0;4;0;3;37.5;3;3;0;1;33.3
212000;Raub, räuberische Erpressung auf/gegen sonstige Zahlstellen und Geschäfte;1002;Kiel;KfS;17;7;4;23.5;9;0;12;70.6;27;27;0;12;44.4
212000;Raub, räuberische Erpressung auf/gegen sonstige Zahlstellen und Geschäfte;1003;Lübeck;KfS;4;2;0;0.0;2;0;3;75.0;4;3;1;1;25.0
212000;Raub, räuberische Erpressung auf/gegen sonstige Zahlstellen und Geschäfte;1004;Neumünster;KfS;10;13;2;20.0;6;0;6;60.0;5;5;0;2;40.0
212000;Raub, räuberische Erpressung auf/gegen sonstige Zahlstellen und Geschäfte;1051;Dithmarschen;K;3;2;0;0.0;3;0;3;100.0;6;6;0;0;0.0
212000;Raub, räuberische Erpressung auf/gegen sonstige Zahlstellen und Geschäfte;1053;Herzogtum Lauenburg;K;8;4;2;25.0;4;1;2;25.0;5;5;0;1;20.0
212000;Raub, räuberische Erpressung auf/gegen sonstige Zahlstellen und Geschäfte;1054;Nordfriesland;K;8;5;0;0.0;3;0;0;0.0;0;0;0;0;0.0
212000;Raub, räuberische Erpressung auf/gegen sonstige Zahlstellen und Geschäfte;1055;Ostholstein;K;8;4;1;12.5;4;2;2;25.0;3;3;0;0;0.0
212000;Raub, räuberische Erpressung auf/gegen sonstige Zahlstellen und Geschäfte;1056;Pinneberg;K;13;4;2;15.4;7;1;3;23.1;7;7;0;5;71.4
212000;Raub, räuberische Erpressung auf/gegen sonstige Zahlstellen und Geschäfte;1057;Plön;K;1;1;0;0.0;1;0;0;0.0;0;0;0;0;0.0
212000;Raub, räuberische Erpressung auf/gegen sonstige Zahlstellen und Geschäfte;1058;Rendsburg-Eckernförde;K;12;4;3;25.0;7;0;2;16.7;2;2;0;1;50.0
212000;Raub, räuberische Erpressung auf/gegen sonstige Zahlstellen und Geschäfte;1059;Schleswig-Flensburg;K;5;3;1;20.0;4;0;3;60.0;4;4;0;1;25.0
212000;Raub, räuberische Erpressung auf/gegen sonstige Zahlstellen und Geschäfte;1060;Segeberg;K;16;6;3;18.8;11;0;9;56.3;8;8;0;3;37.5
212000;Raub, räuberische Erpressung auf/gegen sonstige Zahlstellen und Geschäfte;1061;Steinburg;K;13;10;3;23.1;8;1;7;53.8;10;10;0;0;0.0
212000;Raub, räuberische Erpressung auf/gegen sonstige Zahlstellen und Geschäfte;1062;Stormarn;K;20;8;4;20.0;12;0;15;75.0;20;20;0;6;30.0
212000;Raub, räuberische Erpressung auf/gegen sonstige Zahlstellen und Geschäfte;2000;Hamburg;KfS;162;9;45;27.8;95;3;86;53.1;74;72;2;31;41.9
212000;Raub, räuberische Erpressung auf/gegen sonstige Zahlstellen und Geschäfte;3101;Braunschweig;KfS;11;4;2;18.2;8;0;7;63.6;10;9;1;2;20.0
212000;Raub, räuberische Erpressung auf/gegen sonstige Zahlstellen und Geschäfte;3102;Salzgitter;KfS;5;5;0;0.0;4;0;5;100.0;10;10;0;7;70.0
212000;Raub, räuberische Erpressung auf/gegen sonstige Zahlstellen und Geschäfte;3103;Wolfsburg;KfS;6;5;0;0.0;3;0;5;83.3;6;5;1;1;16.7
212000;Raub, räuberische Erpressung auf/gegen sonstige Zahlstellen und Geschäfte;3151;Gifhorn;LK;11;6;2;18.2;5;0;6;54.5;4;4;0;1;25.0
212000;Raub, räuberische Erpressung auf/gegen sonstige Zahlstellen und Geschäfte;3152;Göttingen;LK;12;5;2;16.7;6;0;4;33.3;6;6;0;0;0.0
212000;Raub, räuberische Erpressung auf/gegen sonstige Zahlstellen und Geschäfte;3153;Goslar;LK;17;12;3;17.6;10;0;15;88.2;14;14;0;4;28.6
212000;Raub, räuberische Erpressung auf/gegen sonstige Zahlstellen und Geschäfte;3154;Helmstedt;LK;20;22;4;20.0;15;0;19;95.0;16;14;2;2;12.5
212000;Raub, räuberische Erpressung auf/gegen sonstige Zahlstellen und Geschäfte;3155;Northeim;LK;2;1;2;100.0;0;0;2;100.0;2;1;1;0;0.0
212000;Raub, räuberische Erpressung auf/gegen sonstige Zahlstellen und Geschäfte;3156;Osterode am Harz;LK;2;3;1;50.0;0;0;1;50.0;1;1;0;1;100.0
212000;Raub, räuberische Erpressung auf/gegen sonstige Zahlstellen und Geschäfte;3157;Peine;LK;7;5;1;14.3;7;0;4;57.1;6;5;1;2;33.3
212000;Raub, räuberische Erpressung auf/gegen sonstige Zahlstellen und Geschäfte;3158;Wolfenbüttel;LK;10;8;2;20.0;8;0;6;60.0;7;6;1;1;14.3
212000;Raub, räuberische Erpressung auf/gegen sonstige Zahlstellen und Geschäfte;3241;Region Hannover;LK;67;6;14;20.9;34;0;42;62.7;43;40;3;17;39.5
212000;Raub, räuberische Erpressung auf/gegen sonstige Zahlstellen und Geschäfte;3251;Diepholz;LK;8;4;1;12.5;5;0;5;62.5;8;8;0;1;12.5
212000;Raub, räuberische Erpressung auf/gegen sonstige Zahlstellen und Geschäfte;3252;Hameln-Pyrmont;LK;5;3;0;0.0;1;0;5;100.0;6;6;0;1;16.7
212000;Raub, räuberische Erpressung auf/gegen sonstige Zahlstellen und Geschäfte;3254;Hildesheim;LK;17;6;3;17.6;8;0;12;70.6;13;12;1;1;7.7
212000;Raub, räuberische Erpressung auf/gegen sonstige Zahlstellen und Geschäfte;3255;Holzminden;LK;3;4;0;0.0;0;0;2;66.7;1;1;0;0;0.0
212000;Raub, räuberische Erpressung auf/gegen sonstige Zahlstellen und Geschäfte;3256;Nienburg (Weser);LK;6;5;3;50.0;2;0;3;50.0;4;4;0;0;0.0
212000;Raub, räuberische Erpressung auf/gegen sonstige Zahlstellen und Geschäfte;3257;Schaumburg;LK;15;10;1;6.7;8;0;4;26.7;8;8;0;3;37.5
212000;Raub, räuberische Erpressung auf/gegen sonstige Zahlstellen und Geschäfte;3351;Celle;LK;13;7;2;15.4;7;0;8;61.5;9;9;0;2;22.2
212000;Raub, räuberische Erpressung auf/gegen sonstige Zahlstellen und Geschäfte;3352;Cuxhaven;LK;8;4;2;25.0;4;0;7;87.5;9;8;1;0;0.0
212000;Raub, räuberische Erpressung auf/gegen sonstige Zahlstellen und Geschäfte;3353;Harburg;LK;6;2;0;0.0;0;0;6;100.0;9;9;0;1;11.1
212000;Raub, räuberische Erpressung auf/gegen sonstige Zahlstellen und Geschäfte;3354;Lüchow-Dannenberg;LK;1;2;0;0.0;1;0;1;100.0;2;2;0;1;50.0
212000;Raub, räuberische Erpressung auf/gegen sonstige Zahlstellen und Geschäfte;3355;Lüneburg;LK;0;0;0;0.0;0;0;0;0.0;0;0;0;0;0.0
212000;Raub, räuberische Erpressung auf/gegen sonstige Zahlstellen und Geschäfte;3356;Osterholz;LK;14;13;2;14.3;3;1;11;78.6;9;8;1;0;0.0
212000;Raub, räuberische Erpressung auf/gegen sonstige Zahlstellen und Geschäfte;3357;Rotenburg (Wümme);LK;6;4;1;16.7;1;1;4;66.7;3;3;0;2;66.7
212000;Raub, räuberische Erpressung auf/gegen sonstige Zahlstellen und Geschäfte;3358;Landkreis Heidekreis;LK;5;4;3;60.0;1;0;4;80.0;6;6;0;2;33.3
212000;Raub, räuberische Erpressung auf/gegen sonstige Zahlstellen und Geschäfte;3359;Stade;LK;17;9;2;11.8;8;0;8;47.1;14;14;0;1;7.1
212000;Raub, räuberische Erpressung auf/gegen sonstige Zahlstellen und Geschäfte;3360;Uelzen;LK;0;0;0;0.0;0;0;0;0.0;0;0;0;0;0.0
212000;Raub, räuberische Erpressung auf/gegen sonstige Zahlstellen und Geschäfte;3361;Verden;LK;9;7;2;22.2;4;0;6;66.7;12;11;1;4;33.3
212000;Raub, räuberische Erpressung auf/gegen sonstige Zahlstellen und Geschäfte;3401;Delmenhorst;KfS;6;8;3;50.0;2;0;4;66.7;9;8;1;2;22.2
212000;Raub, räuberische Erpressung auf/gegen sonstige Zahlstellen und Geschäfte;3402;Emden;KfS;3;6;0;0.0;2;0;0;0.0;0;0;0;0;0.0
212000;Raub, räuberische Erpressung auf/gegen sonstige Zahlstellen und Geschäfte;3403;Oldenburg (Oldenburg);KfS;16;10;6;37.5;3;1;9;56.3;9;7;2;0;0.0
212000;Raub, räuberische Erpressung auf/gegen sonstige Zahlstellen und Geschäfte;3404;Osnabrück;KfS;9;6;1;11.1;1;0;7;77.8;10;10;0;6;60.0
212000;Raub, räuberische Erpressung auf/gegen sonstige Zahlstellen und Geschäfte;3405;Wilhelmshaven;KfS;7;9;4;57.1;3;1;5;71.4;9;9;0;1;11.1
212000;Raub, räuberische Erpressung auf/gegen sonstige Zahlstellen und Geschäfte;3451;Ammerland;LK;3;3;2;66.7;1;0;1;33.3;2;2;0;0;0.0
212000;Raub, räuberische Erpressung auf/gegen sonstige Zahlstellen und Geschäfte;3452;Aurich;LK;2;1;1;50.0;1;0;1;50.0;1;1;0;0;0.0
212000;Raub, räuberische Erpressung auf/gegen sonstige Zahlstellen und Geschäfte;3453;Cloppenburg;LK;6;4;1;16.7;1;0;1;16.7;1;1;0;1;100.0
212000;Raub, räuberische Erpressung auf/gegen sonstige Zahlstellen und Geschäfte;3454;Emsland;LK;8;3;2;25.0;3;0;4;50.0;11;11;0;1;9.1
212000;Raub, räuberische Erpressung auf/gegen sonstige Zahlstellen und Geschäfte;3455;Friesland;LK;1;1;1;100.0;0;0;0;0.0;0;0;0;0;0.0
212000;Raub, räuberische Erpressung auf/gegen sonstige Zahlstellen und Geschäfte;3456;Grafschaft Bentheim;LK;4;3;2;50.0;2;0;2;50.0;7;7;0;1;14.3
212000;Raub, räuberische Erpressung auf/gegen sonstige Zahlstellen und Geschäfte;3457;Leer;LK;0;0;0;0.0;0;0;0;0.0;0;0;0;0;0.0
212000;Raub, räuberische Erpressung auf/gegen sonstige Zahlstellen und Geschäfte;3458;Oldenburg;LK;5;4;0;0.0;3;0;3;60.0;3;2;1;0;0.0
212000;Raub, räuberische Erpressung auf/gegen sonstige Zahlstellen und Geschäfte;3459;Osnabrück;LK;26;7;5;19.2;12;0;13;50.0;28;28;0;8;28.6
212000;Raub, räuberische Erpressung auf/gegen sonstige Zahlstellen und Geschäfte;3460;Vechta;LK;8;6;1;12.5;4;0;5;62.5;8;8;0;4;50.0
212000;Raub, räuberische Erpressung auf/gegen sonstige Zahlstellen und Geschäfte;3461;Wesermarsch;LK;5;6;0;0.0;2;0;3;60.0;5;5;0;2;40.0
212000;Raub, räuberische Erpressung auf/gegen sonstige Zahlstellen und Geschäfte;3462;Wittmund;LK;0;0;0;0.0;0;0;0;0.0;0;0;0;0;0.0
212000;Raub, räuberische Erpressung auf/gegen sonstige Zahlstellen und Geschäfte;4011;Bremen;KfS;40;7;9;22.5;19;1;12;30.0;20;20;0;4;20.0
212000;Raub, räuberische Erpressung auf/gegen sonstige Zahlstellen und Geschäfte;4012;Bremerhaven;KfS;10;9;1;10.0;5;1;4;40.0;6;5;1;0;0.0
212000;Raub, räuberische Erpressung auf/gegen sonstige Zahlstellen und Geschäfte;5111;Düsseldorf;KfS;25;4;8;32.0;8;0;12;48.0;14;14;0;7;50.0
212000;Raub, räuberische Erpressung auf/gegen sonstige Zahlstellen und Geschäfte;5112;Duisburg;KfS;27;6;6;22.2;12;0;16;59.3;16;16;0;5;31.3
212000;Raub, räuberische Erpressung auf/gegen sonstige Zahlstellen und Geschäfte;5113;Essen;KfS;59;10;11;18.6;27;0;31;52.5;27;24;3;12;44.4
212000;Raub, räuberische Erpressung auf/gegen sonstige Zahlstellen und Geschäfte;5114;Krefeld;KfS;9;4;1;11.1;1;0;5;55.6;4;4;0;0;0.0
212000;Raub, räuberische Erpressung auf/gegen sonstige Zahlstellen und Geschäfte;5116;Mönchengladbach;KfS;27;11;9;33.3;7;0;14;51.9;22;22;0;15;68.2
212000;Raub, räuberische Erpressung auf/gegen sonstige Zahlstellen und Geschäfte;5117;Mülheim an der Ruhr;KfS;11;7;0;0.0;4;0;1;9.1;2;2;0;0;0.0
212000;Raub, räuberische Erpressung auf/gegen sonstige Zahlstellen und Geschäfte;5119;Oberhausen;KfS;13;6;4;30.8;3;0;2;15.4;2;2;0;1;50.0
212000;Raub, räuberische Erpressung auf/gegen sonstige Zahlstellen und Geschäfte;5120;Remscheid;KfS;0;0;0;0.0;0;0;0;0.0;0;0;0;0;0.0
212000;Raub, räuberische Erpressung auf/gegen sonstige Zahlstellen und Geschäfte;5122;Solingen;KfS;5;3;1;20.0;3;0;2;40.0;2;2;0;1;50.0
212000;Raub, räuberische Erpressung auf/gegen sonstige Zahlstellen und Geschäfte;5124;Wuppertal;KfS;28;8;7;25.0;5;0;10;35.7;16;16;0;4;25.0
212000;Raub, räuberische Erpressung auf/gegen sonstige Zahlstellen und Geschäfte;5154;Kleve;K;8;3;2;25.0;0;0;6;75.0;4;4;0;0;0.0
212000;Raub, räuberische Erpressung auf/gegen sonstige Zahlstellen und Geschäfte;5158;Mettmann;K;31;6;5;16.1;7;0;14;45.2;15;13;2;6;40.0
212000;Raub, räuberische Erpressung auf/gegen sonstige Zahlstellen und Geschäfte;5162;Rhein-Kreis Neuss;K;8;2;3;37.5;2;0;2;25.0;2;2;0;2;100.0
212000;Raub, räuberische Erpressung auf/gegen sonstige Zahlstellen und Geschäfte;5166;Viersen;K;8;3;0;0.0;0;0;5;62.5;6;6;0;1;16.7
212000;Raub, räuberische Erpressung auf/gegen sonstige Zahlstellen und Geschäfte;5170;Wesel;K;29;6;4;13.8;8;0;12;41.4;10;10;0;4;40.0
212000;Raub, räuberische Erpressung auf/gegen sonstige Zahlstellen und Geschäfte;5314;Bonn;KfS;32;10;12;37.5;2;0;12;37.5;14;14;0;3;21.4
212000;Raub, räuberische Erpressung auf/gegen sonstige Zahlstellen und Geschäfte;5315;Köln;KfS;70;7;20;28.6;18;0;31;44.3;33;31;2;7;21.2
212000;Raub, räuberische Erpressung auf/gegen sonstige Zahlstellen und Geschäfte;5316;Leverkusen;KfS;8;5;2;25.0;2;1;3;37.5;3;3;0;0;0.0
212000;Raub, räuberische Erpressung auf/gegen sonstige Zahlstellen und Geschäfte;5334;Aachen;K;56;10;8;14.3;23;1;26;46.4;27;26;1;6;22.2
212000;Raub, räuberische Erpressung auf/gegen sonstige Zahlstellen und Geschäfte;5358;Düren;K;17;7;6;35.3;2;0;8;47.1;8;8;0;2;25.0
212000;Raub, räuberische Erpressung auf/gegen sonstige Zahlstellen und Geschäfte;5362;Rhein-Erft-Kreis;K;24;5;8;33.3;10;1;14;58.3;19;18;1;5;26.3
212000;Raub, räuberische Erpressung auf/gegen sonstige Zahlstellen und Geschäfte;5366;Euskirchen;K;5;3;1;20.0;1;0;3;60.0;3;3;0;1;33.3
212000;Raub, räuberische Erpressung auf/gegen sonstige Zahlstellen und Geschäfte;5370;Heinsberg;K;17;7;3;17.6;4;1;7;41.2;11;11;0;2;18.2
212000;Raub, räuberische Erpressung auf/gegen sonstige Zahlstellen und Geschäfte;5374;Oberbergischer Kreis;K;8;3;0;0.0;1;0;4;50.0;7;6;1;2;28.6
212000;Raub, räuberische Erpressung auf/gegen sonstige Zahlstellen und Geschäfte;5378;Rheinisch-Bergischer Kreis;K;9;3;2;22.2;4;0;7;77.8;6;6;0;2;33.3
212000;Raub, räuberische Erpressung auf/gegen sonstige Zahlstellen und Geschäfte;5382;Rhein-Sieg-Kreis;K;29;5;6;20.7;9;2;9;31.0;13;10;3;6;46.2
212000;Raub, räuberische Erpressung auf/gegen sonstige Zahlstellen und Geschäfte;5512;Bottrop;KfS;4;3;1;25.0;1;0;2;50.0;2;2;0;2;100.0
212000;Raub, räuberische Erpressung auf/gegen sonstige Zahlstellen und Geschäfte;5513;Gelsenkirchen;KfS;21;8;3;14.3;6;0;7;33.3;14;14;0;9;64.3
212000;Raub, räuberische Erpressung auf/gegen sonstige Zahlstellen und Geschäfte;5515;Münster;KfS;13;4;5;38.5;3;0;8;61.5;6;6;0;2;33.3
212000;Raub, räuberische Erpressung auf/gegen sonstige Zahlstellen und Geschäfte;5554;Borken;K;24;7;7;29.2;7;1;7;29.2;10;10;0;3;30.0
212000;Raub, räuberische Erpressung auf/gegen sonstige Zahlstellen und Geschäfte;5558;Coesfeld;K;3;1;0;0.0;0;0;2;66.7;4;2;2;3;75.0
212000;Raub, räuberische Erpressung auf/gegen sonstige Zahlstellen und Geschäfte;5562;Recklinghausen;K;45;7;5;11.1;9;1;20;44.4;21;21;0;6;28.6
212000;Raub, räuberische Erpressung auf/gegen sonstige Zahlstellen und Geschäfte;5566;Steinfurt;K;29;7;11;37.9;9;0;14;48.3;15;14;1;3;20.0
212000;Raub, räuberische Erpressung auf/gegen sonstige Zahlstellen und Geschäfte;5570;Warendorf;K;9;3;4;44.4;2;0;2;22.2;2;2;0;0;0.0
212000;Raub, räuberische Erpressung auf/gegen sonstige Zahlstellen und Geschäfte;5711;Bielefeld;KfS;21;6;10;47.6;2;0;7;33.3;15;14;1;9;60.0
212000;Raub, räuberische Erpressung auf/gegen sonstige Zahlstellen und Geschäfte;5754;Gütersloh;K;8;2;1;12.5;5;0;4;50.0;5;5;0;1;20.0
212000;Raub, räuberische Erpressung auf/gegen sonstige Zahlstellen und Geschäfte;5758;Herford;K;8;3;2;25.0;1;0;5;62.5;6;6;0;2;33.3
212000;Raub, räuberische Erpressung auf/gegen sonstige Zahlstellen und Geschäfte;5762;Höxter;K;2;1;0;0.0;1;0;1;50.0;1;1;0;0;0.0
212000;Raub, räuberische Erpressung auf/gegen sonstige Zahlstellen und Geschäfte;5766;Lippe;K;17;5;4;23.5;0;1;7;41.2;13;13;0;4;30.8
212000;Raub, räuberische Erpressung auf/gegen sonstige Zahlstellen und Geschäfte;5770;Minden-Lübbecke;K;16;5;6;37.5;2;0;6;37.5;8;8;0;2;25.0
212000;Raub, räuberische Erpressung auf/gegen sonstige Zahlstellen und Geschäfte;5774;Paderborn;K;7;2;1;14.3;2;1;3;42.9;2;2;0;0;0.0
212000;Raub, räuberische Erpressung auf/gegen sonstige Zahlstellen und Geschäfte;5911;Bochum;KfS;20;6;3;15.0;4;0;9;45.0;9;9;0;6;66.7
212000;Raub, räuberische Erpressung auf/gegen sonstige Zahlstellen und Geschäfte;5913;Dortmund;KfS;53;9;16;30.2;7;0;23;43.4;29;28;1;13;44.8
212000;Raub, räuberische Erpressung auf/gegen sonstige Zahlstellen und Geschäfte;5914;Hagen;KfS;23;12;8;34.8;2;0;17;73.9;9;9;0;7;77.8
212000;Raub, räuberische Erpressung auf/gegen sonstige Zahlstellen und Geschäfte;5915;Hamm;KfS;14;8;3;21.4;0;0;9;64.3;4;4;0;1;25.0
212000;Raub, räuberische Erpressung auf/gegen sonstige Zahlstellen und Geschäfte;5916;Herne;KfS;16;10;3;18.8;5;0;5;31.3;7;7;0;0;0.0
212000;Raub, räuberische Erpressung auf/gegen sonstige Zahlstellen und Geschäfte;5954;Ennepe-Ruhr-Kreis;K;31;10;6;19.4;11;0;15;48.4;19;19;0;5;26.3
212000;Raub, räuberische Erpressung auf/gegen sonstige Zahlstellen und Geschäfte;5958;Hochsauerlandkreis;K;14;5;6;42.9;1;0;5;35.7;10;10;0;1;10.0
212000;Raub, räuberische Erpressung auf/gegen sonstige Zahlstellen und Geschäfte;5962;Märkischer Kreis;K;25;6;5;20.0;9;0;12;48.0;15;14;1;5;33.3
212000;Raub, räuberische Erpressung auf/gegen sonstige Zahlstellen und Geschäfte;5966;Olpe;K;1;1;1;100.0;0;0;0;0.0;0;0;0;0;0.0
212000;Raub, räuberische Erpressung auf/gegen sonstige Zahlstellen und Geschäfte;5970;Siegen-Wittgenstein;K;4;1;0;0.0;1;0;0;0.0;0;0;0;0;0.0
212000;Raub, räuberische Erpressung auf/gegen sonstige Zahlstellen und Geschäfte;5974;Soest;K;12;4;1;8.3;10;0;5;41.7;8;8;0;2;25.0
212000;Raub, räuberische Erpressung auf/gegen sonstige Zahlstellen und Geschäfte;5978;Unna;K;30;8;12;40.0;8;1;15;50.0;19;19;0;4;21.1
212000;Raub, räuberische Erpressung auf/gegen sonstige Zahlstellen und Geschäfte;6411;Darmstadt;KfS;11;7;2;18.2;3;0;8;72.7;9;8;1;6;66.7
212000;Raub, räuberische Erpressung auf/gegen sonstige Zahlstellen und Geschäfte;6412;Frankfurt am Main;KfS;52;7;13;25.0;29;1;29;55.8;41;39;2;24;58.5
212000;Raub, räuberische Erpressung auf/gegen sonstige Zahlstellen und Geschäfte;6413;Offenbach am Main;KfS;8;7;2;25.0;3;0;2;25.0;4;4;0;4;100.0
212000;Raub, räuberische Erpressung auf/gegen sonstige Zahlstellen und Geschäfte;6414;Wiesbaden;KfS;11;4;4;36.4;7;0;6;54.5;6;6;0;4;66.7
212000;Raub, räuberische Erpressung auf/gegen sonstige Zahlstellen und Geschäfte;6431;Bergstraße;LK;13;5;2;15.4;4;0;8;61.5;7;7;0;3;42.9
212000;Raub, räuberische Erpressung auf/gegen sonstige Zahlstellen und Geschäfte;6432;Darmstadt-Dieburg;LK;9;3;5;55.6;1;0;7;77.8;14;13;1;6;42.9
212000;Raub, räuberische Erpressung auf/gegen sonstige Zahlstellen und Geschäfte;6433;Groß-Gerau;LK;18;7;1;5.6;6;0;7;38.9;6;6;0;3;50.0
212000;Raub, räuberische Erpressung auf/gegen sonstige Zahlstellen und Geschäfte;6434;Hochtaunuskreis;LK;1;0;0;0.0;1;0;1;100.0;3;3;0;3;100.0
212000;Raub, räuberische Erpressung auf/gegen sonstige Zahlstellen und Geschäfte;6435;Main-Kinzig-Kreis;LK;33;8;11;33.3;17;0;18;54.5;16;15;1;7;43.8
212000;Raub, räuberische Erpressung auf/gegen sonstige Zahlstellen und Geschäfte;6436;Main-Taunus-Kreis;LK;2;1;0;0.0;1;0;2;100.0;5;5;0;2;40.0
212000;Raub, räuberische Erpressung auf/gegen sonstige Zahlstellen und Geschäfte;6437;Odenwaldkreis;LK;2;2;0;0.0;1;0;0;0.0;0;0;0;0;0.0
212000;Raub, räuberische Erpressung auf/gegen sonstige Zahlstellen und Geschäfte;6438;Offenbach;LK;15;4;5;33.3;5;0;5;33.3;5;5;0;3;60.0
212000;Raub, räuberische Erpressung auf/gegen sonstige Zahlstellen und Geschäfte;6439;Rheingau-Taunus-Kreis;LK;4;2;0;0.0;3;0;3;75.0;5;5;0;1;20.0
212000;Raub, räuberische Erpressung auf/gegen sonstige Zahlstellen und Geschäfte;6440;Wetteraukreis;LK;9;3;0;0.0;2;0;5;55.6;7;7;0;3;42.9
212000;Raub, räuberische Erpressung auf/gegen sonstige Zahlstellen und Geschäfte;6531;Gießen;LK;8;3;1;12.5;4;0;7;87.5;22;21;1;15;68.2
212000;Raub, räuberische Erpressung auf/gegen sonstige Zahlstellen und Geschäfte;6532;Lahn-Dill-Kreis;LK;6;2;2;33.3;4;0;4;66.7;5;5;0;2;40.0
212000;Raub, räuberische Erpressung auf/gegen sonstige Zahlstellen und Geschäfte;6533;Limburg-Weilburg;LK;8;5;2;25.0;0;0;5;62.5;7;7;0;1;14.3
212000;Raub, räuberische Erpressung auf/gegen sonstige Zahlstellen und Geschäfte;6534;Marburg-Biedenkopf;LK;5;2;2;40.0;2;0;1;20.0;1;1;0;0;0.0
212000;Raub, räuberische Erpressung auf/gegen sonstige Zahlstellen und Geschäfte;6535;Vogelsbergkreis;LK;4;4;0;0.0;1;0;2;50.0;5;5;0;0;0.0
212000;Raub, räuberische Erpressung auf/gegen sonstige Zahlstellen und Geschäfte;6611;Kassel;KfS;19;10;3;15.8;12;0;11;57.9;11;10;1;3;27.3
212000;Raub, räuberische Erpressung auf/gegen sonstige Zahlstellen und Geschäfte;6631;Fulda;LK;5;2;1;20.0;3;0;3;60.0;2;2;0;1;50.0
212000;Raub, räuberische Erpressung auf/gegen sonstige Zahlstellen und Geschäfte;6632;Hersfeld-Rotenburg;LK;4;3;2;50.0;1;0;1;25.0;2;2;0;0;0.0
212000;Raub, räuberische Erpressung auf/gegen sonstige Zahlstellen und Geschäfte;6633;Kassel;LK;8;3;1;12.5;5;0;4;50.0;9;7;2;2;22.2
212000;Raub, räuberische Erpressung auf/gegen sonstige Zahlstellen und Geschäfte;6634;Schwalm-Eder-Kreis;LK;10;6;5;50.0;3;0;6;60.0;8;7;1;0;0.0
212000;Raub, räuberische Erpressung auf/gegen sonstige Zahlstellen und Geschäfte;6635;Waldeck-Frankenberg;LK;0;0;0;0.0;0;0;0;0.0;0;0;0;0;0.0
212000;Raub, räuberische Erpressung auf/gegen sonstige Zahlstellen und Geschäfte;6636;Werra-Meißner-Kreis;LK;3;3;3;100.0;2;0;0;0.0;0;0;0;0;0.0
212000;Raub, räuberische Erpressung auf/gegen sonstige Zahlstellen und Geschäfte;7111;Koblenz;KfS;6;5;1;16.7;4;0;3;50.0;3;3;0;1;33.3
212000;Raub, räuberische Erpressung auf/gegen sonstige Zahlstellen und Geschäfte;7131;Ahrweiler;LK;4;3;0;0.0;3;0;2;50.0;5;5;0;0;0.0
212000;Raub, räuberische Erpressung auf/gegen sonstige Zahlstellen und Geschäfte;7132;Altenkirchen (Westerwald);LK;2;2;0;0.0;1;0;1;50.0;3;3;0;0;0.0
212000;Raub, räuberische Erpressung auf/gegen sonstige Zahlstellen und Geschäfte;7133;Bad Kreuznach;LK;2;1;0;0.0;2;0;1;50.0;2;2;0;2;100.0
212000;Raub, räuberische Erpressung auf/gegen sonstige Zahlstellen und Geschäfte;7134;Birkenfeld;LK;0;0;0;0.0;0;0;0;0.0;0;0;0;0;0.0
